date,dealer_id,parts_loyalty,auto_replenishment,maintenance_penetration,bulk_oil_penetration,express_lane_ros,service_lane_utilization,time_in_bay_maint_min,time_in_bay_adv_min,total_wait_min,retention_rate,compliance_score
2025-03-10,D001,0.614,0.71,0.473,0.688,134,0.666,29.3,72.2,72.1,0.594,0.77
2025-03-17,D001,0.687,0.5,0.455,0.613,190,0.79,29.3,63.5,68.7,0.622,0.781
2025-03-24,D001,0.634,0.638,0.36,0.623,157,0.675,35.5,66.0,64.3,0.642,0.837
2025-03-31,D001,0.642,0.593,0.426,0.604,180,0.66,33.4,71.3,75.4,0.67,0.786
2025-04-07,D001,0.638,0.74,0.532,0.577,163,0.658,30.8,69.6,69.6,0.625,0.807
2025-04-14,D001,0.65,0.636,0.465,0.621,190,0.655,31.7,67.7,69.6,0.661,0.756
2025-04-21,D001,0.596,0.643,0.483,0.605,200,0.767,29.5,66.1,74.0,0.595,0.875
2025-04-28,D001,0.6,0.675,0.356,0.69,136,0.718,29.0,67.3,75.6,0.618,0.838
2025-05-05,D001,0.664,0.619,0.464,0.549,146,0.647,30.5,72.4,75.4,0.621,0.834
2025-05-12,D001,0.715,0.621,0.475,0.594,153,0.754,30.8,61.1,70.5,0.617,0.773
2025-05-19,D001,0.679,0.659,0.47,0.586,206,0.703,28.0,72.3,81.3,0.642,0.827
2025-05-26,D001,0.673,0.634,0.412,0.641,176,0.77,32.3,72.7,75.2,0.682,0.839
2025-06-02,D001,0.67,0.624,0.431,0.584,223,0.681,35.5,65.9,63.3,0.727,0.809
2025-06-09,D001,0.685,0.689,0.384,0.591,176,0.697,31.0,63.1,74.6,0.73,0.774
2025-06-16,D001,0.541,0.65,0.515,0.543,205,0.724,29.5,75.8,69.8,0.55,0.809
2025-06-23,D001,0.648,0.538,0.523,0.583,204,0.692,31.2,69.4,71.9,0.673,0.754
2025-06-30,D001,0.636,0.66,0.412,0.67,165,0.654,28.4,76.0,70.1,0.618,0.812
2025-07-07,D001,0.645,0.642,0.423,0.518,197,0.648,29.6,59.8,76.3,0.608,0.819
2025-07-14,D001,0.667,0.698,0.372,0.58,202,0.659,28.2,66.6,66.3,0.624,0.812
2025-07-21,D001,0.709,0.651,0.408,0.623,157,0.707,27.4,72.5,74.6,0.623,0.864
2025-07-28,D001,0.585,0.689,0.371,0.641,166,0.752,27.5,71.9,78.4,0.619,0.813
2025-08-04,D001,0.609,0.587,0.435,0.631,182,0.691,31.9,65.6,66.2,0.624,0.746
2025-08-11,D001,0.649,0.727,0.441,0.566,177,0.714,29.4,65.2,66.6,0.619,0.759
2025-08-18,D001,0.654,0.616,0.44,0.606,179,0.734,26.2,63.9,73.7,0.618,0.795
2025-08-25,D001,0.588,0.573,0.504,0.558,190,0.668,34.1,67.3,64.2,0.631,0.878
2025-09-01,D001,0.59,0.52,0.382,0.615,211,0.721,29.0,71.5,76.2,0.648,0.721
2025-03-10,D002,0.455,0.395,0.293,0.256,90,0.485,32.2,73.4,80.4,0.47,0.531
2025-03-17,D002,0.45,0.288,0.31,0.396,99,0.426,37.1,81.0,85.6,0.524,0.597
2025-03-24,D002,0.498,0.288,0.277,0.252,81,0.405,44.4,90.0,86.2,0.458,0.623
2025-03-31,D002,0.46,0.419,0.225,0.235,102,0.49,38.6,81.1,92.0,0.451,0.591
2025-04-07,D002,0.435,0.327,0.223,0.33,91,0.528,36.4,72.3,86.0,0.503,0.66
2025-04-14,D002,0.491,0.334,0.232,0.419,78,0.53,37.7,76.5,88.4,0.463,0.6
2025-04-21,D002,0.462,0.344,0.267,0.296,97,0.544,38.1,66.0,83.1,0.501,0.563
2025-04-28,D002,0.473,0.385,0.3,0.241,87,0.431,30.8,85.1,84.3,0.466,0.635
2025-05-05,D002,0.429,0.362,0.281,0.298,104,0.492,35.9,76.7,84.6,0.462,0.563
2025-05-12,D002,0.372,0.316,0.267,0.346,106,0.362,34.0,78.4,77.6,0.474,0.524
2025-05-19,D002,0.453,0.422,0.272,0.347,79,0.37,38.6,76.6,80.4,0.464,0.608
2025-05-26,D002,0.444,0.305,0.25,0.298,68,0.447,37.9,79.4,88.0,0.45,0.582
2025-06-02,D002,0.395,0.348,0.245,0.328,83,0.554,34.5,77.2,83.6,0.512,0.594
2025-06-09,D002,0.437,0.324,0.259,0.226,100,0.494,38.9,77.7,85.9,0.418,0.645
2025-06-16,D002,0.392,0.261,0.203,0.314,94,0.383,42.1,72.4,89.1,0.44,0.644
2025-06-23,D002,0.456,0.332,0.252,0.24,66,0.42,36.0,81.5,77.3,0.497,0.634
2025-06-30,D002,0.447,0.34,0.277,0.319,74,0.437,32.9,77.1,75.6,0.464,0.566
2025-07-07,D002,0.456,0.339,0.214,0.266,91,0.431,35.8,76.7,83.0,0.454,0.568
2025-07-14,D002,0.421,0.402,0.235,0.234,95,0.428,35.8,79.0,85.4,0.506,0.633
2025-07-21,D002,0.44,0.361,0.303,0.371,85,0.477,32.3,85.2,87.8,0.462,0.559
2025-07-28,D002,0.503,0.415,0.237,0.268,80,0.446,42.9,74.7,82.9,0.499,0.675
2025-08-04,D002,0.478,0.344,0.299,0.166,72,0.464,41.3,72.0,81.5,0.541,0.588
2025-08-11,D002,0.413,0.377,0.247,0.321,83,0.477,36.8,81.6,87.7,0.509,0.511
2025-08-18,D002,0.566,0.478,0.204,0.372,75,0.493,42.5,81.8,90.5,0.497,0.644
2025-08-25,D002,0.421,0.447,0.293,0.235,67,0.443,37.0,72.0,86.7,0.443,0.632
2025-09-01,D002,0.446,0.371,0.297,0.216,115,0.338,38.5,72.4,75.3,0.483,0.547
2025-03-10,D003,0.579,0.506,0.36,0.455,158,0.614,34.1,75.4,72.5,0.603,0.732
2025-03-17,D003,0.635,0.538,0.36,0.417,138,0.684,32.5,74.4,78.4,0.607,0.798
2025-03-24,D003,0.561,0.551,0.364,0.462,119,0.673,37.9,72.4,83.9,0.544,0.786
2025-03-31,D003,0.554,0.572,0.308,0.443,149,0.637,38.2,70.9,79.9,0.564,0.691
2025-04-07,D003,0.527,0.468,0.285,0.444,153,0.561,35.3,65.2,78.9,0.602,0.679
