date,dealer_id,bays_express,bay_capacity_hours,express_lane_ros,utilization,ro_per_bay_hour
2025-03-10,D001,5,240,134,0.6664431068171819,0.5583
2025-03-17,D001,5,240,190,0.7899678245433235,0.7917
2025-03-24,D001,5,240,157,0.6748331502837781,0.6542
2025-03-31,D001,5,240,180,0.6604603627512519,0.75
2025-04-07,D001,5,240,163,0.6580936700022463,0.6792
2025-04-14,D001,5,240,190,0.6546424332021623,0.7917
2025-04-21,D001,5,240,200,0.7666333831712331,0.8333
2025-04-28,D001,5,240,136,0.7177941353532458,0.5667
2025-05-05,D001,5,240,146,0.6474161165508623,0.6083
2025-05-12,D001,5,240,153,0.7543807499723107,0.6375
2025-05-19,D001,5,240,206,0.7034358131503513,0.8583
2025-05-26,D001,5,240,176,0.7696630747602236,0.7333
2025-06-02,D001,5,240,223,0.6806493714846518,0.9292
2025-06-09,D001,5,240,176,0.6966121344964112,0.7333
2025-06-16,D001,5,240,205,0.7235248206907251,0.8542
2025-06-23,D001,5,240,204,0.6917107290614256,0.85
2025-06-30,D001,5,240,165,0.653797146714865,0.6875
2025-07-07,D001,5,240,197,0.6481486815970521,0.8208
2025-07-14,D001,5,240,202,0.6594956431877149,0.8417
2025-07-21,D001,5,240,157,0.7071537073892641,0.6542
2025-07-28,D001,5,240,166,0.7516308728915286,0.6917
2025-08-04,D001,5,240,182,0.6908379537837859,0.7583
2025-08-11,D001,5,240,177,0.7136303503249177,0.7375
2025-08-18,D001,5,240,179,0.7340427447273681,0.7458
2025-08-25,D001,5,240,190,0.6678665947381204,0.7917
2025-09-01,D001,5,240,211,0.7212740921017362,0.8792
2025-03-10,D002,2,96,90,0.4850478445106512,0.9375
2025-03-17,D002,2,96,99,0.4255831654017034,1.0312
2025-03-24,D002,2,96,81,0.4049339413606858,0.8438
2025-03-31,D002,2,96,102,0.4898390437731196,1.0625
2025-04-07,D002,2,96,91,0.5277852337019686,0.9479
2025-04-14,D002,2,96,78,0.5304915618710124,0.8125
2025-04-21,D002,2,96,97,0.5439188325240822,1.0104
2025-04-28,D002,2,96,87,0.43103327648921497,0.9062
2025-05-05,D002,2,96,104,0.4923947627736431,1.0833
2025-05-12,D002,2,96,106,0.36179455493442436,1.1042
2025-05-19,D002,2,96,79,0.37042531621622954,0.8229
2025-05-26,D002,2,96,68,0.44734302692633154,0.7083
2025-06-02,D002,2,96,83,0.5544847047901876,0.8646
2025-06-09,D002,2,96,100,0.49436301192866655,1.0417
2025-06-16,D002,2,96,94,0.38278143638462986,0.9792
2025-06-23,D002,2,96,66,0.4195396810599482,0.6875
2025-06-30,D002,2,96,74,0.43720911627617104,0.7708
2025-07-07,D002,2,96,91,0.4313401072910704,0.9479
2025-07-14,D002,2,96,95,0.42830935729016634,0.9896
2025-07-21,D002,2,96,85,0.47664734689216953,0.8854
2025-07-28,D002,2,96,80,0.4463553567282748,0.8333
2025-08-04,D002,2,96,72,0.46429385424146535,0.75
2025-08-11,D002,2,96,83,0.477365428561193,0.8646
2025-08-18,D002,2,96,75,0.4926692416611622,0.7812
2025-08-25,D002,2,96,67,0.4428512527509537,0.6979
2025-09-01,D002,2,96,115,0.3383952976410302,1.1979
2025-03-10,D003,3,144,158,0.6135050707638576,1.0972
2025-03-17,D003,3,144,138,0.6838613619793006,0.9583
2025-03-24,D003,3,144,119,0.6728625923800806,0.8264
2025-03-31,D003,3,144,149,0.6374367864652499,1.0347
2025-04-07,D003,3,144,153,0.5613587374996252,1.0625
2025-04-14,D003,3,144,126,0.6288397260550992,0.875
2025-04-21,D003,3,144,110,0.6273427107292838,0.7639
2025-04-28,D003,3,144,125,0.5253882583578982,0.8681
2025-05-05,D003,3,144,110,0.6672634653333818,0.7639
2025-05-12,D003,3,144,125,0.5923818847010058,0.8681
2025-05-19,D003,3,144,149,0.5663765728870009,1.0347
2025-05-26,D003,3,144,111,0.6084651856189731,0.7708
2025-06-02,D003,3,144,119,0.6179877853488309,0.8264
2025-06-09,D003,3,144,159,0.5521060418213772,1.1042
2025-06-16,D003,3,144,160,0.6689917175767547,1.1111
2025-06-23,D003,3,144,130,0.582915907244338,0.9028
2025-06-30,D003,3,144,145,0.6699805172318202,1.0069
2025-07-07,D003,3,144,167,0.6245069258289321,1.1597
2025-07-14,D003,3,144,143,0.6253772940771243,0.9931
2025-07-21,D003,3,144,142,0.6291522144075462,0.9861
2025-07-28,D003,3,144,100,0.6130620452621508,0.6944
2025-08-04,D003,3,144,171,0.603065565009301,1.1875
2025-08-11,D003,3,144,144,0.5744302668345708,1.0
2025-08-18,D003,3,144,135,0.5774208270194628,0.9375
2025-08-25,D003,3,144,108,0.6904691681701494,0.75
2025-09-01,D003,3,144,151,0.6203754496784405,1.0486
2025-03-10,D004,4,192,202,0.734348724288947,1.0521
2025-03-17,D004,4,192,144,0.7535866439286499,0.75
2025-03-24,D004,4,192,175,0.755708641566113,0.9115
2025-03-31,D004,4,192,173,0.65502537232683,0.901
2025-04-07,D004,4,192,226,0.7033285414672399,1.1771
2025-04-14,D004,4,192,139,0.6389486793782068,0.724
2025-04-21,D004,4,192,167,0.7026006345283342,0.8698
2025-04-28,D004,4,192,182,0.670813732465256,0.9479
2025-05-05,D004,4,192,178,0.6998709175299341,0.9271
2025-05-12,D004,4,192,220,0.6539371996710783,1.1458
2025-05-19,D004,4,192,146,0.6511122307066923,0.7604
2025-05-26,D004,4,192,184,0.6860872783198946,0.9583
2025-06-02,D004,4,192,194,0.6478540274731241,1.0104
2025-06-09,D004,4,192,175,0.6109897144861648,0.9115
2025-06-16,D004,4,192,169,0.711489088593518,0.8802
2025-06-23,D004,4,192,164,0.7060738273388373,0.8542
2025-06-30,D004,4,192,195,0.7486870544355224,1.0156
2025-07-07,D004,4,192,181,0.7314793202677866,0.9427
